# RA Dec Distance Mag Spectrum
0.02437471 49.01041081 3703.7037037037  8.93 A0          
0.0247784 30.73587929 100.704934541793  7.95 G0IV        
0.02483977 -62.92315760 211.416490486258  7.46 A2IV        
0.0250262 -33.79270439 120.627261761158  8.60 F3V         
0.02536054 -72.60590348 2777.77777777778  8.55 G8III       
0.02601348 44.67544581 133.511348464619  6.82 K0          
0.02639926 -45.34468907 353.356890459364  8.29 K1IIICNIV   
0.02643178 28.42377416 273.224043715847  6.83 K2III       
0.02662528 -77.06529438 67.7048070412999  4.78 K2III       
0.02668274 72.23660619 197.23865877712  7.21 K0          
0.02694969 61.22280406 1162.79069767442  5.58 F0III       
0.02698211 -39.33667992 196.850393700787  8.70 F2V         
0.02724887 14.63230674 340.136054421769  8.06 G5          
0.02758431 73.61187664 65.7894736842105  6.50 Am...       
0.02799614 62.01815066 123.304562268804  8.13 A4V         
0.02822459 -40.14866597 284.900284900285  6.62 F5IV        
0.02844972 -00.21749947 49.7512437810945  8.64 G5          
0.02857615 24.25318080 171.232876712329  6.60 K2III-IV    
0.02884595 42.36714821 408.163265306122  6.25 B9IIIp
0.02914692 -16.53172119 157.728706624606  7.83 K0/K1IV     
0.03022865 36.35034560 178.25311942959  8.47 K5          
0.03024991 66.30600204 62.3441396508728  7.33 K0          
0.03033932 76.17561121 280.112044817927  8.66 K5          
0.03034547 21.46213750 49.8753117206982 10.35 K3          
0.03039927 -03.02747891 125.31328320802  5.13 B7III-IV    
0.03041276 -25.79769516 227.790432801822  8.96 A9V         
0.03106957 21.02624872 10000000  8.49 K5          
0.03191233 26.00557721 43.630017452007 11.26 K3          
0.03191951 15.52852839 236.96682464455  8.15 F8          
0.03202437 -37.22984397 133.333333333333  7.04 K1III       
0.03230298 12.65495324 180.505415162455  8.90 F8          
0.03230549 -41.61373674 132.275132275132  7.78 F3IV...     
0.03266433 -06.01397169 127.226463104326  4.37 M3III       
0.03312566 63.35784580 323.624595469256  8.60 B8V         
0.03335517 -05.21399723 145.560407569141  8.51 G5          
0.03336475 -37.90179046 142.247510668563  7.09 K0III       
0.03405407 -02.76616306 59.1016548463357  6.93 A3          
0.03411434 -69.26920741 483.091787439614  8.68 B9V         
0.03416533 33.69599071 420.168067226891  8.98 K5          
0.0344762 -30.68523468 342.465753424658  8.98 A3V         
0.03457187 59.94001211 226.757369614512  7.98 G9III       
0.03476844 -56.51490157 105.708245243129  8.86 G3V         
0.03518714 39.18321360 285.714285714286  8.58 B9          
0.03566806 -68.28020594 15.8654608916389  9.24 M0V         
0.03601251 27.08448905 12.402331638348  5.80 G3V         
0.03663992 47.57722222 763.358778625954  8.45 A2          
0.03677112 59.96533825 257.06940874036  8.86 G9II-III    
0.03682905 49.77113897 251.256281407035  7.84 G5          
0.03688894 44.42827722 261.780104712042  8.86 K0          
0.03734693 -11.96434717 182.815356489945  8.93 A1m...      
0.03785307 -27.13517299 110.864745011086  7.97 F7V         
0.03792415 -13.40751554 67.0690811535882  6.90 G0V         
0.03806015 -09.17489501 357.142857142857  8.47 K0          
0.03825444 60.70319460 398.406374501992  6.77 M0          
0.03874453 52.58643746 301.204819277108  8.55 K0          
0.03886504 -29.72044805 156.25  5.04 B4V         
0.03931837 11.00634091 33.6134453781513  8.48 K0          
0.03934334 10.78564387 85.1788756388416  8.53 F8          
0.04004652 08.95683360 132.450331125828  6.33 A6V         
0.04014094 -06.05918213 149.476831091181  8.99 G0          
0.04016696 06.33313676 95.3288846520496  8.64 F5          
0.04037042 10.77665206 95.5109837631328  8.74 G0          
0.04081914 -46.02884131 43.5161009573542 12.43 M3          
0.04132207 08.39393024 302.114803625378  8.16 G5          
0.04159929 08.48557854 37.6931775348662  5.70 F0V         
0.04171579 47.42295978 123.762376237624  7.62 F8          
